volume nproc time
100 1 0.000011
100 2 0.000010
100 4 0.000998
100 8 0.000025
500 1 0.000496
500 2 0.000360
500 4 0.001586
500 8 0.000489
1000 1 0.002609
1000 2 0.001769
1000 4 0.001998
1000 8 0.001702
2000 1 0.013710
2000 2 0.010571
2000 4 0.008073
2000 8 0.012264
4000 1 0.063949
4000 2 0.035559
4000 4 0.036564
4000 8 0.035186
5000 1 0.104015
5000 2 0.063075
5000 4 0.061867
5000 8 0.063778
6000 1 0.147515
6000 2 0.159433
6000 4 0.097048
6000 8 0.093948
8000 1 0.341983
8000 2 0.346947
8000 4 0.210943
8000 8 0.192881
10000 1 0.647314
10000 2 0.390855
10000 4 0.458958
10000 8 0.442894

